state,positive,totalTestResultsSource,totalTestResults,totalTestEncountersViral,fips,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,is_holiday,is_long_weekend,Ridership,date
NY,393454,totalTestEncountersViral,3914938,3914938,36,524,393454,52025,393454,13,0,e526c4b8fb8a28dea6f1fd081b5bebb486a84195,1,1,1115510,2020-06-30
NY,392930,totalTestEncountersViral,3862913,3862913,36,391,392930,46428,392930,7,0,51bb925b19c9907d34d959bc544eb501ad200318,0,0,1103086,2020-06-29
NY,392539,totalTestEncountersViral,3816485,3816485,36,616,392539,61906,392539,5,0,c6b2f6c762a5771b69bd2b3a1799ddd8dc4733e2,0,0,536488,2020-06-28
NY,391923,totalTestEncountersViral,3754579,3754579,36,703,391923,73262,391923,16,0,49d082c4525827acb47baf3905154b915f46e62d,0,0,616084,2020-06-27
NY,391220,totalTestEncountersViral,3681317,3681317,36,805,391220,61723,391220,14,0,0415ca28a21a379fdec8a1a34f7bf57b53a7b511,0,0,1104497,2020-06-26
NY,390415,totalTestEncountersViral,3619594,3619594,36,749,390415,67642,390415,18,0,4e4038d41db545207ee7b825c310c0e95a3d0866,0,0,1081006,2020-06-25
NY,389666,totalTestEncountersViral,3551952,3551952,36,581,389666,51144,389666,16,0,a8c02ac5e4d5733ec9a26e0158d344bd96c7d26c,0,0,1070527,2020-06-24
NY,389085,totalTestEncountersViral,3500808,3500808,36,597,389085,48709,389085,27,0,30db29f62eccccc9b274f525c8f1c91cd40ea897,0,0,1053005,2020-06-23
NY,388488,totalTestEncountersViral,3452099,3452099,36,552,388488,56780,388488,14,0,15b6b52c3448f02baef09879b80725db58db028e,0,0,1002073,2020-06-22
NY,387936,totalTestEncountersViral,3395319,3395319,36,664,387936,67526,387936,15,0,eade35877719a31dfe1b5b1f4973beb1bcac910f,0,0,449497,2020-06-21
NY,387272,totalTestEncountersViral,3327793,3327793,36,716,387272,68830,387272,24,0,d4de70fd0267807d1d3a7ab1ccc6cf72a479c869,0,0,576097,2020-06-20
