positive,totalTestResults,totalTestEncountersViral,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,is_holiday,is_long_weekend,Ridership,sevenDayAvg_newCases,sevenDayAvg_hospitalize,sevenDayAvg_death,sevenDayAvg_testResult,date
0,0,0,0,0,0,0,0,0,0.0,0.0,5347055.0,0,0,0,0,2020-03-02
1,1,1,1,1,1,1,0,0,0.0,0.0,5498556.0,0,0,0,0,2020-03-03
1,10,10,0,25,9,1,0,0,0.0,0.0,5515945.0,0,0,0,0,2020-03-04
3,30,30,2,27,20,3,0,0,0.0,0.0,5513656.0,0,0,0,0,2020-03-05
25,122,122,22,261,92,25,0,0,0.0,0.0,5204732.0,0,0,0,0,2020-03-06
36,188,188,11,272,66,36,0,0,0.0,0.0,2817082.0,0,0,0,0,2020-03-07
60,388,388,24,60,200,60,0,0,0.0,0.0,2122328.0,0,0,0,0,2020-03-08
88,695,695,28,88,307,88,0,0,0.0,0.0,4989635.0,13,0,0,99,2020-03-09
151,1096,1096,63,151,401,151,0,0,0.0,0.0,4883623.0,21,0,0,156,2020-03-10
195,1521,1521,44,195,425,195,0,0,0.0,0.0,4712462.0,28,0,0,216,2020-03-11
251,2074,2074,56,251,553,251,0,0,0.0,0.0,4163674.0,35,0,0,292,2020-03-12
353,2836,2836,102,353,762,353,0,0,0.0,0.0,3496765.0,47,0,0,388,2020-03-13
517,4126,4126,164,517,1290,517,0,0,0.0,0.0,1672800.0,69,0,0,563,2020-03-14
648,5419,5419,131,648,1293,648,3,0,0.0,0.0,1159079.0,84,0,0,719,2020-03-15
942,7355,7355,294,942,1936,942,4,0,0.0,0.0,2184296.0,122,0,1,951,2020-03-16
1374,10262,10262,432,1374,2907,1374,0,0,0.0,0.0,1793359.0,175,0,1,1309,2020-03-17
2383,14815,14815,1009,2383,4553,2383,5,0,0.0,0.0,1629413.0,313,0,2,1899,2020-03-18
4152,22513,22513,1769,4152,7698,4152,0,0,0.0,0.0,1425564.0,557,0,2,2920,2020-03-19
7102,32637,32637,2950,7102,10124,7102,23,0,0.0,0.0,1312249.0,964,0,5,4257,2020-03-20
10356,45724,45724,3254,10356,13087,10356,9,1531,0.0,0.0,620662.0,1406,219,6,5943,2020-03-21
